,Rooms,,Design Style,,Storage Solutions,,Key Features (Functional),,Furniture Category,,Tags,Tag Reference (Based on Style),
,Living room,,Mid-Century Scandi,,Open Storage,,Workspace Area,,Sofa,,Calm/Serene,Organic Modern,
,Dining room,,Modern Farmhouse,,Closed Storage,,Comfortable Seat,,Sectional,,Clean Line/Structured,Mid-Century Scandinavian,
,Bedroom,,Warm Transitional,,Toy Storage,,Accent Lighting,,Accent Chair,,Rustic/Inviting,Modern Farmhouse,
,Home office,,Organic Modern,,Book Storage,,Pet-Friendly,,Reading Chair,,Upscale/Chic,Contemporary Luxe,
,Nursery,,Contemporary Lux,,Filing Storage,,Child-Friendly,,Swivel Chair,,Elegant/Balanced,Warm Transitional,
,Entryway,,Artful Eclectic,,Shoe Storage,,Media Area,,Coffee Table,,Warm Neutrals,,
,,,,,No Storage,,Sofa Bed ,,End Table,,Earth & Stone,,
,,,,,,,Casual Setting,,Ottoman,,Coastal Calm,,
,,,,,,,Formal Setting,,Media Unit,,Soft Contrast,,
,,,,,,,Twin/Single Bed,,Shelving Unit,,Monochrome Luxe,,
,,,,,,,Double Bed,,Console Table,,Artful Contrast,,
,,,,,,,Queen Bed,,Bed,,Heritage Warmth,,
,,,,,,,King Bed,,Dresser,,Dark & Moody,,
,,,,,,,Upholstered,,Nightstand,,White Oak/Linen/Travertine,,
,,,,,,,"Large Desk (52"" or more)",,Vanity chair,,Walnut,,
,,,,,,,"Small Desk (48"" or less)",,Bench,,Shiplap/Wrought Iron,,
,,,,,,,Reading Chair,,Stool,,Velvet/Brass/Smoked Glass ,,
,,,,,,,Vanity Table ,,Large Desk,,Satin/Metallics,,
,,,,,,,,,Small Desk,,Everyday Elegance/Gracious,,
,,,,,,,,,Office Chair,,Statement Living/Glamorous Evenings ,,
,,,,,,,,,Dining Table,,Relaxed Sophistication/ Minimalist ,Organic Modern,
,,,,,,,,,Dining Chairs,,Nurturing/Refined,Mid-Century Scandinavian,
,,,,,,,,,Buffet,,Family Gatherings/ Humble,Modern Farmhouse,
,,,,,,,,,Home Décor,,Just Solids,Contemporary Luxe,
,,,,,,,,,Table Lamp,,Patterned Accents,Warm Transitional,
,,,,,,,,,Floor Lamp,,I Love Patterns,,
,,,,,,,,,Outdoor Lamp,,,,
,,,,,,,,,Pendant Light,,,,
,,,,,,,,,Chandelier Light,,,,
,,,,,,,,,Light Sconce,,,,
,,,,,,,,,Dining Bench,,,,
