scenario_id,rule_id,severity,message,source_section,open_question_id
condo_living_room_conversation_circle,MIN_WALKWAY,needs_input,MIN_WALKWAY (ADR-0004 interim reachability reading) requires circulation-endpoint input (doorway and primary-functional-zone positions) that was not supplied; Section 9.1's scope is unresolved -- see OQ-013.,9.1 (ADR-0004 interim),OQ-013
condo_living_room_conversation_circle,CMR_VALIDATION,needs_input,"Circulation-to-Mass Ratio formula is undefined in the Design Manual (Section 9 implementation note, Section 10 STEP 5); cannot evaluate until the design authority resolves OQ-001.","9 implementation note, 10 STEP 5",OQ-001
mid_dining_room_service_perimeter,MIN_WALKWAY,needs_input,MIN_WALKWAY (ADR-0004 interim reachability reading) requires circulation-endpoint input (doorway and primary-functional-zone positions) that was not supplied; Section 9.1's scope is unresolved -- see OQ-013.,9.1 (ADR-0004 interim),OQ-013
mid_dining_room_service_perimeter,CMR_VALIDATION,needs_input,"Circulation-to-Mass Ratio formula is undefined in the Design Manual (Section 9 implementation note, Section 10 STEP 5); cannot evaluate until the design authority resolves OQ-001.","9 implementation note, 10 STEP 5",OQ-001
large_living_room_floating_anchor_violation,MIN_WALKWAY,needs_input,MIN_WALKWAY (ADR-0004 interim reachability reading) requires circulation-endpoint input (doorway and primary-functional-zone positions) that was not supplied; Section 9.1's scope is unresolved -- see OQ-013.,9.1 (ADR-0004 interim),OQ-013
large_living_room_floating_anchor_violation,CMR_VALIDATION,needs_input,"Circulation-to-Mass Ratio formula is undefined in the Design Manual (Section 9 implementation note, Section 10 STEP 5); cannot evaluate until the design authority resolves OQ-001.","9 implementation note, 10 STEP 5",OQ-001
large_living_room_floating_anchor_violation,LR_FLOATING_ANCHOR,hard,Sofa is 0mm off the wall; rooms over the width threshold require >= 762mm,9.2.2.3,
condo_bedroom_pinched_ensuite_path,MIN_WALKWAY,needs_input,MIN_WALKWAY (ADR-0004 interim reachability reading) requires circulation-endpoint input (doorway and primary-functional-zone positions) that was not supplied; Section 9.1's scope is unresolved -- see OQ-013.,9.1 (ADR-0004 interim),OQ-013
condo_bedroom_pinched_ensuite_path,CMR_VALIDATION,needs_input,"Circulation-to-Mass Ratio formula is undefined in the Design Manual (Section 9 implementation note, Section 10 STEP 5); cannot evaluate until the design authority resolves OQ-001.","9 implementation note, 10 STEP 5",OQ-001
condo_bedroom_pinched_ensuite_path,BR_ENSUITE_PATH,hard,No continuous 1067mm path from bed to ensuite door,9.4.4,
