brief_id,product_id,supplier_id,precondition,grade,unmapped,partial_normalization
A1-1,moes-home:BC-1147-03,Moes Home,False,0,False,False
A1-1,moes-home:LX-1076-20,Moes Home,False,0,False,False
A1-1,moes-home:BC-1147-24,Moes Home,False,0,False,False
A1-1,moes-home:BC-1122-03,Moes Home,False,0,False,False
A1-1,moes-home:QJ-1026-34,Moes Home,False,0,False,False
A1-1,moes-home:GZ-1126-02,Moes Home,False,0,False,False
A1-1,moes-home:BC-1094-03,Moes Home,False,0,False,False
A1-1,moes-home:BQ-1062-46,Moes Home,False,0,False,False
A1-1,moes-home:GZ-1020-02-0,Moes Home,False,0,False,False
A1-1,moes-home:GZ-1021-18-0,Moes Home,False,0,False,False
A1-1,moes-home:RP-1071-24,Moes Home,False,0,False,False
A1-1,moes-home:VE-1134-03,Moes Home,False,0,False,False
A1-1,moes-home:JD-1038-18-0,Moes Home,False,0,False,False
A1-1,moes-home:CB-1018-03,Moes Home,False,0,False,False
A1-1,moes-home:PJ-1011-26,Moes Home,False,0,False,False
A1-1,moes-home:GZ-1153-39,Moes Home,False,0,False,False
A1-1,moes-home:GZ-1153-02,Moes Home,False,0,False,False
A1-1,moes-home:YC-1005-24,Moes Home,False,0,False,False
A1-1,moes-home:GZ-1149-37,Moes Home,False,0,False,False
A1-1,moes-home:BQ-1059-23,Moes Home,False,0,False,False
A1-1,moes-home:BC-1093-03,Moes Home,False,0,False,False
A1-1,moes-home:FR-1039-03,Moes Home,False,0,False,False
A1-1,moes-home:QJ-1018-02-0,Moes Home,False,0,False,False
A1-1,moes-home:LX-1025-03,Moes Home,False,0,False,False
A1-1,moes-home:VL-1059-24,Moes Home,False,0,False,False
A1-1,moes-home:FR-1026-29,Moes Home,False,0,False,False
A1-1,moes-home:BC-1122-02,Moes Home,False,0,False,False
A1-1,moes-home:BC-1122-24,Moes Home,False,0,False,False
A1-1,moes-home:BC-1118-24,Moes Home,False,0,False,False
A1-1,moes-home:OT-1003-54,Moes Home,False,0,False,False
A1-1,moes-home:JD-1087-03,Moes Home,False,0,False,False
A1-1,moes-home:VH-1008-02,Moes Home,False,0,False,False
A1-1,moes-home:EW-1018-05-0,Moes Home,False,0,False,False
A1-1,moes-home:PJ-1024-32,Moes Home,False,0,False,False
A1-1,moes-home:GK-1130-18-0,Moes Home,False,0,False,False
A1-1,moes-home:KY-1014-07,Moes Home,False,0,False,False
A1-1,moes-home:VH-1015-18,Moes Home,False,0,False,False
A1-1,moes-home:PJ-1024-06,Moes Home,False,0,False,False
A1-1,moes-home:PJ-1021-02,Moes Home,False,0,False,False
A1-1,moes-home:PJ-1021-18,Moes Home,False,0,False,False
A1-1,moes-home:PJ-1021-16,Moes Home,False,0,False,False
A1-1,moes-home:AD-1025-03,Moes Home,False,0,False,False
A1-1,four-hands:107936-009,Four Hands,False,0,False,False
A1-1,four-hands:248342-001,Four Hands,False,0,False,False
A1-1,four-hands:IMYA-002,Four Hands,False,0,False,False
A1-1,four-hands:249525-002,Four Hands,False,0,False,False
A1-1,four-hands:241379-001,Four Hands,False,0,False,False
A1-1,four-hands:249082-001,Four Hands,False,0,False,False
A1-1,four-hands:VBNA-CO102,Four Hands,False,0,False,False
A1-1,four-hands:246640-001,Four Hands,False,0,False,False
A1-1,four-hands:248000-001,Four Hands,False,0,False,False
A1-1,four-hands:249150-003,Four Hands,False,0,False,False
A1-1,four-hands:245636-002,Four Hands,False,0,False,False
A1-1,four-hands:243694-002,Four Hands,False,0,False,False
A1-1,four-hands:249149-003,Four Hands,False,0,False,False
A1-1,four-hands:241303-002,Four Hands,False,0,False,False
A1-1,four-hands:249116-001,Four Hands,False,0,False,False
A1-1,four-hands:244505-001,Four Hands,False,0,False,False
A1-1,four-hands:242151-002,Four Hands,False,0,False,False
A1-1,four-hands:242153-002,Four Hands,False,0,False,False
A1-1,four-hands:244501-001,Four Hands,False,0,False,False
A1-1,four-hands:VHAD-F085,Four Hands,False,0,False,False
A1-1,four-hands:239183-002,Four Hands,False,0,False,False
A1-1,four-hands:243556-003,Four Hands,False,0,False,False
A1-1,four-hands:241019-001,Four Hands,False,0,False,False
A1-1,four-hands:244095-003,Four Hands,False,0,False,False
A1-1,four-hands:244447-002,Four Hands,False,0,False,False
A1-1,four-hands:236888-002,Four Hands,False,0,False,False
A1-1,four-hands:234305-003,Four Hands,False,0,False,False
A1-1,four-hands:246795-001,Four Hands,False,0,False,False
A1-1,four-hands:247376-001,Four Hands,False,0,False,False
A1-1,four-hands:233422-002,Four Hands,False,0,False,False
A1-1,four-hands:228775-001,Four Hands,False,0,False,False
A1-1,four-hands:226799-001,Four Hands,False,0,False,False
A1-1,four-hands:224842-002,Four Hands,False,0,False,False
A1-1,four-hands:108655-001,Four Hands,False,0,False,False
A1-1,four-hands:223621-002,Four Hands,False,0,False,False
A1-1,four-hands:228915-003,Four Hands,False,0,False,False
A1-1,four-hands:230091-001,Four Hands,False,0,False,False
A1-1,four-hands:226801-001,Four Hands,False,0,False,False
A1-1,four-hands:229656-003,Four Hands,False,0,False,False
A1-1,four-hands:232518-001,Four Hands,False,0,False,False
A1-1,four-hands:229646-003,Four Hands,False,0,False,False
A1-1,four-hands:107935-006,Four Hands,True,1,False,False
A1-1,four-hands:247592-001,Four Hands,True,0,False,False
A1-1,four-hands:246684-001,Four Hands,True,1,False,False
A1-1,four-hands:237487-002,Four Hands,True,0,False,False
A1-1,four-hands:233486-001,Four Hands,True,1,False,False
A1-1,four-hands:226333-001,Four Hands,True,0,False,False
A1-1,four-hands:104374-013,Four Hands,True,0,False,False
A1-1,four-hands:244055-012,Four Hands,True,1,False,False
A1-1,four-hands:223320-001,Four Hands,True,0,False,False
A1-1,four-hands:232016-004,Four Hands,True,0,False,False
A1-1,four-hands:100054-009,Four Hands,True,2,False,False
A1-1,four-hands:247998-001,Four Hands,True,0,False,False
A1-1,four-hands:CIRD-20137-405,Four Hands,True,0,False,False
A1-1,four-hands:247632-001,Four Hands,True,0,False,False
A1-1,four-hands:240361-003,Four Hands,True,0,False,False
A1-1,four-hands:237568-001,Four Hands,True,0,False,False
A1-1,four-hands:226782-001,Four Hands,True,1,False,False
A1-1,four-hands:226492-001,Four Hands,True,1,False,False
A1-1,four-hands:108419-003,Four Hands,True,0,False,False
A1-1,four-hands:100229-009,Four Hands,True,0,False,False
A1-1,four-hands:224376-005,Four Hands,True,1,False,False
A1-1,four-hands:246687-001,Four Hands,True,1,False,False
A1-1,four-hands:CASH-20405-493,Four Hands,True,0,False,False
A1-1,four-hands:JLAN-232,Four Hands,True,0,False,False
A1-1,four-hands:JCHR-B1G-GRY,Four Hands,True,2,False,False
A1-1,four-hands:JLAN-168A,Four Hands,True,1,False,False
A1-1,four-hands:CASH-16617-091,Four Hands,True,0,False,False
A1-1,four-hands:CASH-69C-084P,Four Hands,True,2,False,False
A1-1,four-hands:249013-001,Four Hands,True,0,False,False
A1-1,four-hands:248673-001,Four Hands,True,0,False,False
A1-1,four-hands:246917-001,Four Hands,True,0,False,False
A1-1,four-hands:246660-001,Four Hands,True,0,False,False
A1-1,four-hands:CABT-89A,Four Hands,True,0,False,False
A1-1,four-hands:247627-001,Four Hands,True,0,False,False
A1-1,four-hands:244049-004,Four Hands,True,0,False,False
A1-1,four-hands:246152-002,Four Hands,True,1,False,False
A1-1,four-hands:246721-001,Four Hands,False,0,False,False
A1-1,four-hands:244051-001,Four Hands,True,0,False,False
A1-1,four-hands:245333-007,Four Hands,True,0,False,False
A1-1,four-hands:245345-003,Four Hands,True,0,False,False
A1-1,four-hands:246155-002,Four Hands,True,1,False,False
A1-1,four-hands:244862-001,Four Hands,False,0,False,False
